square_item_id,square_variation_id,name,variation_name,display_name,description,price,price_cents,display_price,square_category,kds_category,sort_order,is_visible
USUVWEFRWCV2KPXH65LURMXQ,ASMW7SHWZIKPBSQLTBSEP5EC,Mocha Frappuccino®,Grande,Mocha Frappuccino® (Grande),"Rich, chocolatey goodness blended with coffee, milk and ice, topped with whipped cream and chocolate drizzle.",6.25,625,$6.25,Uncategorized,blended,0,true
5OGTYJIU7K6YXVCE3CQIEGP5,BWT2TFC6ZSMM3XO5HRFTMAOB,Orange Juice,Regular,Orange Juice,Humankind Orange Juice,3.95,395,$3.95,Uncategorized,snacks,0,true
GIFJJEPR5MRJGOCUPJI3K5Y3,M3QLJYQDKTAV7GUB37KNSCDQ,Pike Place® Roast,Tall,Pike Place® Roast (Tall),"A smooth, well-rounded blend of Latin American coffees with subtle flavors of cocoa and toasted nuts.",2.65,265,$2.65,Uncategorized,snacks,0,true
GIFJJEPR5MRJGOCUPJI3K5Y3,SXJUBY43PBYA35ZX2FQD5FWU,Pike Place® Roast,Grande,Pike Place® Roast (Grande),"A smooth, well-rounded blend of Latin American coffees with subtle flavors of cocoa and toasted nuts.",2.95,295,$2.95,Uncategorized,snacks,0,true
GIFJJEPR5MRJGOCUPJI3K5Y3,X6KMABMF535UXAK3OIAHKB72,Pike Place® Roast,Venti,Pike Place® Roast (Venti),"A smooth, well-rounded blend of Latin American coffees with subtle flavors of cocoa and toasted nuts.",3.25,325,$3.25,Uncategorized,snacks,0,true
4ZWQDCUPX65EJ6H7YQ246MMG,FHVYWQ7T3HFHJUDIZMJ7FWKD,Pressed Juice,Regular,Pressed Juice,Raspberry pressed juice,3.95,395,$3.95,Uncategorized,snacks,0,true
VYBGXODVDR22BNIWHH2WINXJ,S5LAQTGVFL5CILMH666MSFHO,Pressed Juice,Regular,Pressed Juice,Mango Pressed Juice,3.95,395,$3.95,Uncategorized,snacks,0,true
DLUVZNCJM3CV34X3DROK74QA,BQ5RPGGYPMDAW6DLR3EKNRYS,Pressed Juice,Regular,Pressed Juice,Pineable Pressed Juice,3.95,395,$3.95,Uncategorized,snacks,0,true
GVLFCBZQAM47VUHKWW2XGYX2,YVMOMHZMLLMYWR75PGBMSIYF,Protein Bar,Regular,Protein Bar,High-protein energy bar with chocolate and peanut butter,3.95,395,$3.95,Uncategorized,snacks,0,true
YRWALRYMLF4XIHJMQ75YOS3V,UGGA3CYEWOIW7QBWPQI2IBB6,Pumpkin Spice Latte,Tall,Pumpkin Spice Latte (Tall),"Espresso and steamed milk with pumpkin, cinnamon, nutmeg and clove, topped with whipped cream and pumpkin pie spice.",5.45,545,$5.45,Uncategorized,espressos,0,true
YRWALRYMLF4XIHJMQ75YOS3V,2S6YMHYGPUOT7WUJSX4Z6F4E,Pumpkin Spice Latte,Grande,Pumpkin Spice Latte (Grande),"Espresso and steamed milk with pumpkin, cinnamon, nutmeg and clove, topped with whipped cream and pumpkin pie spice.",6.15,615,$6.15,Uncategorized,espressos,0,true
26VLTEHPTJHOVXVMFQOERNZ5,KZLZITKJB24HJ5IIFDXHWPD2,Sparkling Water,Regular,Sparkling Water,Clearly Canadian Sparkling Water,1.15,115,$1.15,Uncategorized,snacks,0,true
VFKCQQ5D4GY5AKYSW2QCA7C6,T5XZV4LKJIWGL3BTQLBYNIR6,Sprkilng Water Can Pure 12 OZ,Regular,Sprkilng Water Can Pure 12 OZ,"No Artificial Sweeteners, No Sugars, No Calories!All flavors of LaCroix are Gluten-Free, vegan and KosherLaCroix does not contain any genetically modified organisms (GMO)The flavors are derived from the natural essence oils extracted from the named fruit used in each of the LaCroix flavors.LaCroix Sparkling Water is locally sourced throughout the US and uses a triple filtration system",1.15,115,$1.15,Uncategorized,snacks,0,true
AJ67PWKON3PS27RMBSYRHVEY,2NIAGTGSA2M4M3C3WUBPVX2K,Strawberry Açaí Refresher,Tall,Strawberry Açaí Refresher (Tall),Sweet strawberry flavors accented by passion fruit and açaí notes.,4.45,445,$4.45,Uncategorized,blended,0,true
AJ67PWKON3PS27RMBSYRHVEY,LEEVHZGGU4BQXH47YIWRYRUI,Strawberry Açaí Refresher,Grande,Strawberry Açaí Refresher (Grande),Sweet strawberry flavors accented by passion fruit and açaí notes.,5.15,515,$5.15,Uncategorized,blended,0,true
ML5EJK3SMWB3VODVO2ZTZ6HX,4QGSH5ACBVMPJMIXURSIRHNH,Turkey & Avocado Wrap,Regular,Turkey & Avocado Wrap,"Sliced turkey, fresh avocado, lettuce and tomato in a spinach tortilla",9.95,995,$9.95,Uncategorized,snacks,0,true
4VSR2Y5DJIFVZB5SAW6W4ZDV,QDZIOS5QT7USSEX6TPJVOFGB,Vanilla Bean Crème Frappuccino®,Tall,Vanilla Bean Crème Frappuccino® (Tall),"Rich vanilla bean flavor blended with milk and ice, topped with whipped cream.",4.95,495,$4.95,Uncategorized,blended,0,true
